INF_ID,COL_ENG_NM,COL_KOR_NM,COL_EXP
OA-12615,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-12615,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-12615,SERVICE,서비스명,GdTnBbsMyeongil2dong
OA-12615,START_INDEX,요청시작위치,정수입력
OA-12615,END_INDEX,요청종료위치,정수입력
OA-12621,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-12621,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-12621,SERVICE,서비스명,GdTnBbsAmsa2dong
OA-12621,START_INDEX,요청시작위치,정수입력
OA-12621,END_INDEX,요청종료위치,정수입력
OA-12611,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-12611,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-12611,SERVICE,서비스명,GdTnBbsGildong
OA-12611,START_INDEX,요청시작위치,정수입력
OA-12611,END_INDEX,요청종료위치,정수입력
OA-18805,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-18805,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-18805,SERVICE,서비스명,LOCALDATA_082604_SD
OA-18805,START_INDEX,요청시작위치,정수입력
OA-18805,END_INDEX,요청종료위치,정수입력
OA-19284,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-19284,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-19284,SERVICE,서비스명,LOCALDATA_093004_SB
OA-19284,START_INDEX,요청시작위치,정수입력
OA-19284,END_INDEX,요청종료위치,정수입력
OA-19280,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-19280,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-19280,SERVICE,서비스명,LOCALDATA_093004_SD
OA-19280,START_INDEX,요청시작위치,정수입력
OA-19280,END_INDEX,요청종료위치,정수입력
OA-19308,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-19308,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-19308,SERVICE,서비스명,LOCALDATA_093005_JR
OA-19308,START_INDEX,요청시작위치,정수입력
OA-19308,END_INDEX,요청종료위치,정수입력
OA-19306,KEY,인증키,OpenAPI에서 발급받은 인증키
